distname,district_id,dist_grad,dist_grad_tot,dist_died,dist_ret_home_ctry,dist_college,dist_home_school,dist_rem_cps,dist_exp_no_ret,dist_enr_priv,dist_enr_non_tx_priv,dist_admin_withdrawn,dist_grad_hs_gone,dist_ged_non_tx,dist_univ_hs_dp,dist_grad_iceo_mil,dist_other_tot,dist_pregnancy,dist_med_inj,dist_crt_ord_no_ged,dist_fed_or_state_jail,dist_other,dist_drop_tot,leaver_count,enrollment_count,school_year
Great Hearts Texas,015835,152,152,0,9,0,80,0,4,62,36,0,0,0,0,0,191,0,0,0,0,73,73,73.0,568.0,2023-24
Eleanor Kolitz Hebrew Language,015836,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,9,0,0,0,0,0,0,0.0,9.0,2023-24
Compass Rose Public Schools,015838,57,57,0,7,0,18,0,4,1,13,0,0,0,0,0,43,0,0,0,1,73,74,74.0,231.0,2023-24
San Antonio STEAM Academy,015840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,2,2.0,2.0,2023-24
Royal Public Schools,015842,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1.0,2.0,2023-24
Alamo Heights ISD,015901,385,385,0,3,0,2,0,0,11,29,1,0,0,0,0,46,0,1,0,0,13,14,14.0,830.0,2023-24
Harlandale ISD,015904,948,948,0,21,0,64,0,0,4,22,0,0,0,0,0,111,0,0,0,0,89,89,89.0,2096.0,2023-24
Edgewood ISD,015905,485,485,1,12,0,27,1,0,3,20,0,0,0,0,0,64,1,0,0,0,234,235,235.0,1269.0,2023-24
Randolph Field ISD,015906,110,110,0,2,0,1,0,0,2,43,0,0,0,0,0,48,0,0,0,0,0,0,0.0,268.0,2023-24
San Antonio ISD,015907,"2,743","2,743",9,79,0,261,0,0,106,132,3,0,0,0,0,590,0,0,0,3,544,547,547.0,1137.0,2023-24
South San Antonio ISD,015908,494,494,0,12,0,31,0,0,4,20,0,0,0,0,0,67,0,0,0,0,102,102,102.0,1157.0,2023-24
Somerset ISD,015909,327,327,0,9,0,9,0,0,2,4,0,0,0,0,0,24,0,0,0,0,22,22,22.0,700.0,2023-24
North East ISD,015910,"4,462","4,462",6,124,0,105,0,0,142,330,4,5,0,0,0,716,0,0,0,3,664,667,667.0,1383.0,2023-24
East Central ISD,015911,776,776,1,4,0,32,0,0,10,41,0,0,0,0,0,88,0,0,0,0,137,137,137.0,1777.0,2023-24
Southwest ISD,015912,997,997,2,31,0,72,0,0,3,52,0,0,0,0,0,160,0,0,0,0,44,44,44.0,2198.0,2023-24
Lackland ISD,015913,35,35,1,2,0,5,0,0,2,49,0,0,0,0,2,61,0,0,0,0,0,0,0.0,131.0,2023-24
Ft Sam Houston ISD,015914,116,116,0,0,0,1,0,0,0,65,0,0,0,0,0,66,0,0,0,0,0,0,0.0,298.0,2023-24
Northside ISD,015915,"7,298","7,298",12,227,2,512,3,0,233,681,4,0,1,3,1,"1,679",0,0,0,1,475,476,476.0,476.0,2023-24
Judson ISD,015916,"1,674","1,674",6,26,0,61,2,1,32,206,5,1,0,0,0,340,0,1,0,0,292,293,293.0,633.0,2023-24
Southside ISD,015917,387,387,0,13,0,38,0,0,2,17,1,0,0,0,0,71,0,0,0,0,40,40,40.0,885.0,2023-24
Johnson City ISD,016901,57,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,118.0,2023-24
Blanco ISD,016902,79,79,0,5,0,5,0,0,2,3,0,0,0,0,0,15,0,0,0,0,0,0,0.0,173.0,2023-24
Borden County ISD,017901,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,45.0,2023-24
Clifton ISD,018901,67,67,1,0,0,12,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0.0,150.0,2023-24
Meridian ISD,018902,12,12,0,0,0,3,0,0,0,3,1,0,0,0,0,7,0,0,0,0,0,0,0.0,31.0,2023-24
Morgan ISD,018903,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,25.0,2023-24
Valley Mills ISD,018904,44,44,1,0,0,8,0,0,0,3,0,0,0,0,0,12,-1,-1,-1,-1,-1,1,1.0,101.0,2023-24
Walnut Springs ISD,018905,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1.0,23.0,2023-24
Iredell ISD,018906,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,21.0,2023-24
Kopperl ISD,018907,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,17.0,2023-24
Cranfills Gap ISD,018908,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,25.0,2023-24
DeKalb ISD,019901,62,62,0,0,0,4,0,0,1,0,0,0,0,0,0,5,-1,-1,-1,-1,-1,1,1.0,130.0,2023-24
Hooks ISD,019902,62,62,1,1,0,7,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0.0,136.0,2023-24
Maud ISD,019903,34,34,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0.0,78.0,2023-24
New Boston ISD,019905,81,81,0,1,0,13,0,0,0,18,0,0,0,0,0,32,0,0,0,0,6,6,6.0,200.0,2023-24
Redwater ISD,019906,80,80,0,0,0,10,0,0,0,6,0,0,0,0,0,16,-1,-1,-1,-1,-1,1,1.0,177.0,2023-24
Texarkana ISD,019907,457,457,1,6,0,27,0,0,3,110,1,0,0,0,0,148,2,0,0,2,54,58,58.0,1120.0,2023-24
Liberty-Eylau ISD,019908,142,142,0,0,0,3,0,0,0,13,2,0,0,0,0,18,0,0,0,1,10,11,11.0,313.0,2023-24
Simms ISD,019909,35,35,0,2,0,10,0,0,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0.0,91.0,2023-24
Red Lick ISD,019911,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,2.0,2023-24
Pleasant Grove ISD,019912,166,166,0,4,0,4,0,0,0,26,4,1,0,0,0,39,-1,-1,-1,-1,-1,2,2.0,373.0,2023-24
Hubbard ISD,019913,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Leary ISD,019914,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,1.0,2023-24
Alvin ISD,020901,"2,182","2,182",2,44,0,199,3,0,37,132,0,1,0,0,0,418,0,1,0,0,22,23,23.0,441.0,2023-24
Angleton ISD,020902,495,495,1,14,0,55,1,0,2,27,0,0,0,0,0,100,0,0,1,0,17,18,18.0,1108.0,2023-24
Danbury ISD,020904,54,54,0,0,0,2,0,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0.0,118.0,2023-24
Brazosport ISD,020905,872,872,0,21,0,44,0,0,3,55,0,0,0,0,0,123,0,0,0,0,63,63,63.0,1930.0,2023-24
Sweeny ISD,020906,144,144,0,1,0,14,0,0,2,2,0,0,0,0,0,19,-1,-1,-1,-1,-1,2,2.0,309.0,2023-24
Columbia-Brazoria ISD,020907,202,202,0,8,0,26,0,0,3,16,0,0,0,0,0,53,0,0,0,0,5,5,5.0,462.0,2023-24
Pearland ISD,020908,"1,724","1,724",3,26,0,68,0,0,33,69,0,0,0,0,0,199,0,0,11,0,1,12,12.0,211.0,2023-24
Damon ISD,020910,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,2.0,2023-24
College Station ISD,021901,"1,005","1,005",2,30,0,77,0,0,26,90,2,1,0,0,0,228,0,0,7,2,29,38,38.0,266.0,2023-24
Bryan ISD,021902,"1,096","1,096",0,35,0,64,0,0,17,45,0,0,0,0,0,161,0,0,28,0,120,148,148.0,309.0,2023-24
Terlingua CSD,022004,12,12,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,29.0,2023-24
Alpine ISD,022901,79,79,0,2,0,11,0,0,1,3,0,0,0,0,0,17,0,0,0,0,7,7,7.0,182.0,2023-24
Marathon ISD,022902,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,2023-24
San Vicente ISD,022903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-4.0,2023-24
Silverton ISD,023902,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,46.0,2023-24
Brooks County ISD,024901,84,84,0,0,0,9,0,0,1,4,0,0,0,0,0,14,0,0,0,0,9,9,9.0,191.0,2023-24
Bangs ISD,025901,52,52,0,0,0,10,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0.0,115.0,2023-24
Brownwood ISD,025902,201,201,1,0,0,18,0,0,0,11,0,0,0,0,0,30,0,0,1,0,8,9,9.0,441.0,2023-24
Blanket ISD,025904,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,18.0,2023-24
May ISD,025905,23,23,0,0,0,10,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0.0,58.0,2023-24
Zephyr ISD,025906,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,24.0,2023-24
Brookesmith ISD,025908,12,12,0,1,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,11,11,11.0,40.0,2023-24
Early ISD,025909,83,83,1,0,0,8,0,0,0,4,0,0,0,0,0,13,-1,-1,-1,-1,-1,1,1.0,180.0,2023-24
Caldwell ISD,026901,135,135,0,2,0,19,0,0,2,4,0,0,0,0,0,27,-1,-1,-1,-1,-1,4,4.0,301.0,2023-24
Somerville ISD,026902,29,29,1,0,0,5,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0.0,66.0,2023-24
Snook ISD,026903,30,30,0,0,0,4,0,0,0,1,0,0,0,0,0,5,-1,-1,-1,-1,-1,2,2.0,67.0,2023-24
